productCd,countryCd,label,PV?,,,,,,
85414010,Albania,"light-emitting diodes, incl. laser diode",No,,,,,,
85414010000,Albania,"light-emitting diodes, incl. laser diode",No,,,,,,
85414011000,Albania,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",Yes,,,,,,
85414019000,Albania,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",Yes,,,,,,
85414090,Albania,"photosensitive semiconductor devices, incl. photovoltaic cells",Yes,,,,,,
85414090000,Albania,"photosensitive semiconductor devices, incl. photovoltaic cells",Yes,,,,,,
85414099000,Albania,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",Yes,,,,,,
85414000,Algeria,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques)",Yes,,,,,,
85414010,Algeria,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques) : Cellules photovoltaïques même assemblées en modules ou constituées en
panneaux",Yes,,,,,,
85414020,Algeria,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques) : Diodes émettrices de lumière",Yes,,,,,,
85414090,Algeria,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques) : Autres diodes",Yes,,,,,,
85414090000,Andorra,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",Yes,,,,,,
85414000,Angola,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",Yes,,,,,,
8.54E+11,Angola,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",Yes,,,,,,
85414000,Antigua and Barbuda,"Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels, light emitting doides",Yes,,,,,,
8541400000,Antigua and Barbuda,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",Yes,,,,,,
85414011,Argentina,"Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: sin montar : diodos emisores de luz (led), excepto diodos láser",Yes,,,,,,
85414012,Argentina,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: sin montar : diodos láser,Yes,,,,,,
85414013,Argentina,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: sin montar : fotodiodos,Yes,,,,,,
85414014,Argentina,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: sin montar : fototransistores,Yes,,,,,,
85414015,Argentina,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: sin montar : fototiristores,Yes,,,,,,
85414016,Argentina,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: sin montar : células solares,Yes,,,,,,
85414019,Argentina,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: sin montar : los demás,Yes,,,,,,
85414021,Argentina,"Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: montados, excepto las células fotovoltaicas en modulos o paneles : diodos emisores de luz (led), excepto diodos láser",Yes,,,,,,
85414022,Argentina,"Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: montados, excepto las células fotovoltaicas en modulos o paneles : diodos láser",?,,,,,,
85414023,Argentina,"Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: montados, excepto las células fotovoltaicas en modulos o paneles : fotodiodos",Yes,,,,,,
85414024,Argentina,"Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: montados, excepto las células fotovoltaicas en modulos o paneles : fototransistores",Yes,,,,,,
85414025,Argentina,"Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: montados, excepto las células fotovoltaicas en modulos o paneles : fototiristores",Yes,,,,,,
85414026,Argentina,"Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: montados, excepto las células fotovoltaicas en modulos o paneles : fotoresistores",,,,,,,
85414027,Argentina,"Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: montados, excepto las células fotovoltaicas en modulos o paneles : acopladores opticos aptos para montaje en superficie (smd- ""surface mounted device"")",,,,,,,
