,productCd,countryCd,label,,,,,,,
0,8541400,Bermuda,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
1,85414000,Algeria,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques)",,,,,,,
2,85414000,Angola,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
3,85414000,Antigua and Barbuda,"Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels, light emitting doides",,,,,,,
4,85414000,Azerbaijan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
5,85414000,Australia,Photosensitive semi-conductor devices (including photovoltaic cells); light-emitting diodes (LED),,,,,,,
6,85414000,Bahamas,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
7,85414000,Bahrain,Photosensitive semi-conductor devices,,,,,,,
8,85414000,Bangladesh,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
9,85414000,Bermuda,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators)",,,,,,,
10,85414000,Bhutan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
11,85414000,Belize,"Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes.",,,,,,,
12,85414000,Solomon Islands,"tosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes",,,,,,,
13,85414000,Cameroon,"Dispositifs photosensibles à  semi-conducteur, diodes émettrices de lumière",,,,,,,
14,85414000,Canada,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
15,85414000,Central African Republic,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques)",,,,,,,
16,85414000,Sri Lanka, : :,,,,,,,
17,85414000,Chile,"Dispositivos material semiconductor fotosensibles, incl. las células fotovoltaicas aunque estén ensambladas en módulos o paneles (exc. generadores fotovoltaicos); diodos emisores de luz",,,,,,,
18,85414000,China,"Photosensitive semiconductor devices,photovoltaic cells & LEDs",,,,,,,
19,85414000,Comoros,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
20,85414000,Cuba,"Diodos, transistores y dispositivos semiconductores similares; dispositivos semiconductores fotosensibles, incluidas las celulas fotovoltaicas, aunque esten ensambladas en modulos o paneles; diodos emisores de luz; cristales piezoelectricos montados: Dispositivos semiconductores fotosensibles, incluidas las células fotovoltaicas, aunque estén ensambladas en módulos o paneles; diodos emisores de luz",,,,,,,
21,85414000,Dominica,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
22,85414000,El Salvador,"Diodos, transistores y dispositivos semiconductores similares; dispositivos semiconductores fotosensibles, incluidas las celulas fotovoltaicas, aunque esten ensambladas en modulos o paneles; diodos emisores de luz; cristales piezoelectricos montados : dispositivos semiconductores fotosensibles, incluidas las células fotovoltaicas, aunque estén ensambladas en modulos o paneles; diodos emisores de luz",,,,,,,
23,85414000,Ethiopia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators)",,,,,,,
24,85414000,Eritrea,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
25,85414000,Gabon,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
26,85414000,Gambia,Photosensitive semiconductor devices; light emitting diodes,,,,,,,
27,85414000,"Palestine, State of","Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
28,85414000,Kiribati,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators)",,,,,,,
29,85414000,Grenada,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
30,85414000,Guatemala,"Dispositivos material semiconductor fotosensibles, incl. las células fotovoltaicas aunque estén ensambladas en modulos o paneles (exc. generadores fotovoltaicos); diodos emisores de luz",,,,,,,
31,85414000,Haiti,"Dispositifs photosensibles à semi-conducteur, y.c. les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière (sauf génératrices photovoltaïques)",,,,,,,
32,85414000,Iceland,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
33,85414000,"Iran, Islamic Republic of","Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
34,85414000,Israel,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
35,85414000,Côte d'Ivoire,"Dispositifs photosensib.a semi-conducteur, diodes emettrices de lumiere",,,,,,,
36,85414000,Kenya,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
37,85414000,Kuwait,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
38,85414000,Lebanon,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes; mounted piezoelectric crystals: Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes",,,,,,,
39,85414000,"Libya, State of","Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
40,85414000,Madagascar,"Dispositifs photosensibles a semi-conducteur, y compris les cellules photovoltaiques",,,,,,,
41,85414000,Malawi,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
42,85414000,Mexico,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est,,,,,,,
43,85414000,Mongolia,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
44,85414000,Montserrat,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
45,85414000,Mozambique,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est,,,,,,,
46,85414000,Oman,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
47,85414000,Nepal,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
48,85414000,Aruba,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes: photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in m",,,,,,,
49,85414000,Norway,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
