,productCd,countryCd,label
0,8501710051,Australia,Photovoltaic DC generators of an output not exceeding 50 W
1,8501710000,"Bolivia, Plurinational State of",Generadores fotovoltaicos de corriente continua de potencia inferior o igual a 50 w
2,85017100,Brazil,"Photovoltaic DC generators, of an output <= 50 W (detailed label not available)"
3,85017100,Canada,"Photovoltaic DC generators, of an output <= 50 W (detailed label not available)"
4,8501710000,Canada,"Photovoltaic DC generators, of an output <= 50 W (detailed label not available)"
5,85017100,Chile,"Photovoltaic DC generators, of an output <= 50 W (detailed label not available)"
6,85017100,China,Photovoltaic DC generators of an output not exceeding 50 W
7,85017100,Iceland,"Photovoltaic DC generators, of an output <= 50 W (detailed label not available)"
8,85017100,Indonesia,photovoltaic dc generators of an output not exceeding 50 w
9,850171000,Japan,"Photovoltaic DC generators, of an output <= 50 W (detailed label not available)"
10,850171XX,"Korea, Republic of",Trade borken down at the 6-digit level
11,85017100,Madagascar,"Photovoltaic DC generators, of an output <= 50 W (detailed label not available)"
12,85017100,Lithuania,"Photovoltaic dc generators, of an output <= 50 w"
13,85017100,Luxembourg,"Photovoltaic dc generators, of an output <= 50 w"
14,85017100,Ireland,"Photovoltaic dc generators, of an output <= 50 w"
15,85017100,Greece,"Photovoltaic dc generators, of an output <= 50 w"
16,85017100,Hungary,"Photovoltaic dc generators, of an output <= 50 w"
17,85017100,Malta,"Photovoltaic dc generators, of an output <= 50 w"
18,85017100,Netherlands,"Photovoltaic dc generators, of an output <= 50 w"
19,85017100,Germany,"Photovoltaic dc generators, of an output <= 50 w"
20,85017100,Finland,"Photovoltaic dc generators, of an output <= 50 w"
21,85017100,France,"Photovoltaic dc generators, of an output <= 50 w"
22,85017100,Denmark,"Photovoltaic dc generators, of an output <= 50 w"
23,85017100,Cyprus,"Photovoltaic dc generators, of an output <= 50 w"
24,85017100,Czech Republic,"Photovoltaic dc generators, of an output <= 50 w"
25,85017100,Estonia,"Photovoltaic dc generators, of an output <= 50 w"
26,85017100,Bulgaria,"Photovoltaic dc generators, of an output <= 50 w"
27,85017100,Croatia,"Photovoltaic dc generators, of an output <= 50 w"
28,85017100,Belgium,"Photovoltaic dc generators, of an output <= 50 w"
29,85017100,Austria,"Photovoltaic dc generators, of an output <= 50 w"
30,85017100,Italy,"Photovoltaic dc generators, of an output <= 50 w"
31,85017100,Poland,"Photovoltaic dc generators, of an output <= 50 w"
32,85017100,Portugal,"Photovoltaic dc generators, of an output <= 50 w"
33,85017100,Slovenia,"Photovoltaic dc generators, of an output <= 50 w"
34,85017100,Spain,"Photovoltaic dc generators, of an output <= 50 w"
35,85017100,Romania,"Photovoltaic dc generators, of an output <= 50 w"
36,85017100,Sweden,"Photovoltaic dc generators, of an output <= 50 w"
37,85017100,United Kingdom,"Photovoltaic dc generators, of an output <= 50 w"
38,85017100,Slovakia,"Photovoltaic dc generators, of an output <= 50 w"
39,85017100,Latvia,"Photovoltaic dc generators, of an output <= 50 w"
40,8501710000,Malaysia,"Photovoltaic DC generators, of an output <= 50 W"
41,8501710000,New Zealand,"Electric generators; photovoltaic DC generators, of an output not exceeding 50W"
42,85017100,Norway,"Photovoltaic DC generators, of an output <= 50 W"
43,8501710000,Russian Federation,"Photovoltaic DC generators, of an output <= 50 W (detailed label not available)"
44,8501710090,Serbia,"Photovoltaic DC generators, of an output <= 50 W (detailed label not available)"
45,85017100,South Africa,"Photovoltaic dc generators, of an output <= 50 w"
46,85017100,Eswatini,"Photovoltaic dc generators, of an output <= 50 w"
47,85017100,Namibia,"Photovoltaic dc generators, of an output <= 50 w"
48,85017100,Lesotho,"Photovoltaic dc generators, of an output <= 50 w"
49,85017100,Botswana,"Photovoltaic dc generators, of an output <= 50 w"
50,85017110,Switzerland,"Photovoltaic DC generators, of an output <= 50 W, weighing > 5 kg each"
51,85017120,Switzerland,"Photovoltaic DC generators, of an output <= 50 W, weighing > 1 kg but =< 5 kg each"
52,85017130,Switzerland,"Photovoltaic DC generators, of an output <= 50 W, weighing =< 1 kg each"
53,85017100000,Thailand,"Photovoltaic DC generators, of an output <= 50 W (detailed label not available)"
54,8501710000,United States of America,Photovoltaic dc generators of an output not exceeding 50 w
