,productCd,countryCd,label
0,9405000,Bermuda,"Lamps and lighting fittings, incl. searchlights and spotlights, and parts thereof, n.e.s; illuminated signs, illuminated name-plates and the like having a permanently fixed light source, and parts thereof, n.e.s. (detailed label not available)"
1,94050000,Bermuda,"Lamps and lighting fittings, incl. searchlights and spotlights, and parts thereof, n.e.s; illuminated signs, illuminated name-plates and the like having a permanently fixed light source, and parts thereof, n.e.s. (detailed label not available)"
2,9405000000,Belarus,"Lamps and lighting fittings, incl. searchlights and spotlights, and parts thereof, n.e.s; illuminated signs, illuminated name-plates and the like having a permanently fixed light source, and parts thereof, n.e.s. (detailed label not available)"
3,94050000,China,"Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like, having a permanently fixed light source, and parts thereof not elsewhere specified or included."
4,94050010,Cook Islands,Commodities not elsewhere specified
5,94050020,Cook Islands,Commodities not elsewhere specified
6,94050030,Cook Islands,Commodities not elsewhere specified
7,94050090,Cook Islands,Commodities not elsewhere specified
8,9405000000,Ghana,No product description available
9,94050001,Aruba,Led illuminated devices
10,94050000,Aruba,No product description available
11,94050000,Qatar,"Aparatos de alumbrado, incl. los proyectores, y sus partes, n.c.o.p.; anuncios, letreros y placas indicadoras luminosos y artículos simil., con fuente de luz inseparable, y sus partes, n.c.o.p. (descripción detallada no disponible)"
12,94050000,South Africa,No product description available
13,94050000,Eswatini,No product description available
14,94050000,Namibia,No product description available
15,94050000,Lesotho,No product description available
16,94050000,Botswana,No product description available
17,9405000000,Egypt,No product description available
