Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,84.74071019,85.24041634,85.64832118,86.61951985,87.69689883,88.59405173,89.56653173,90.01178471,90.52156921,..
Algeria,98.7646637,99.0022049,99.08701324,99.18666077,99.35025024,99.63549042,99.69783783,99.5,99.80413055,..
Angola,37.13132095,38.2780304,32,42,41.81312943,43.01325989,45.29000092,45.64279938,46.89060974,..
Bahrain,100,100,100,100,100,100,100,100,100,..
Benin,38.40000153,34.69121933,34.09999847,29.62000084,37.09524536,34.5,39.24691772,40.32868958,41.41095734,..
Botswana,56.01881409,57.99192047,59.9529953,62.13000107,64.17505646,67.40000153,68.22926331,69.95973969,71.99475861,..
Burkina Faso,15.11799431,15.40564251,19.20000076,16.07697487,16.64105606,17.21404266,14.39999962,18.37485504,18.95723915,..
Burundi,6.5,6.900000095,7,8.427652359,9.348409653,9.300000191,10.88490868,11.35652828,11.73555565,..
Cabo Verde,83.35876465,84.33934784,85.3079071,86.35784149,87.5449295,88.69096375,90.41175079,91.40000153,94.16174316,..
Cameroon,55.03915405,56.20781326,56.79999924,58.5955925,59.80877686,61.03086472,62.20000076,63.48987961,64.72136688,..
Central African Republic,10.8688612,11.46914101,12.05739689,12.7270298,13.53381634,14.29954147,14.84237576,14.30000019,15.46508408,..
Chad,7.835405827,8.126558304,8.405685425,7.699999809,9.263847351,10.89999962,10.11404037,8.399999619,11.08011723,..
Comoros,69.30000305,69.76844788,72.16279602,74.57198334,76.99304199,79.42300415,81.85890961,84.29777527,86.73713684,..
"Congo, Dem. Rep.",15.39999962,14.73320007,13.5,16.14824295,17.04183769,17.91650963,18.56829071,19.10000038,19.10000038,..
"Congo, Rep.",41.59999847,42.54397202,43.43212128,44.40164948,45.50832748,46.57394791,47.41667557,48.40747452,49.51710129,..
Cote d'Ivoire,55.79999924,61.36259079,61.90000153,62.59999847,64.30000305,65.59999847,67.14739227,68.45955658,69.67912292,..
Djibouti,54.59999847,56.29747391,56.61883926,57.57856369,58.67544556,60.20000076,60.5641861,61.21192932,61.76708221,..
"Egypt, Arab Rep.",99.69999695,99.85038757,99.80000305,99.30000305,100,100,100,100,100,..
Equatorial Guinea,65.73594666,65.82080841,65.92346954,66.04097748,66.17035675,66.30863953,66.45285797,66.60004425,66.74772644,..
Eritrea,42.46794891,43.63922882,44.82831192,46.03224182,47.24803925,48.47274399,49.7033844,50.93699265,52.1710968,..
Eswatini,54.3662262,57.56251526,65,64.01241302,63.43000031,73.5,73.91577911,76.86943817,79.73049927,..
Ethiopia,28.89851952,30.67167282,27.20000076,29,42.90000153,44.29999924,44.94060135,48.063591,51.0939827,..
Gabon,89.30000305,86.40000153,86.96430969,87.37686157,88.2038269,86.26999664,89.8815155,90.72629547,91.57156372,..
"Gambia, The",49.82793045,51.5,52.93372726,54.56198883,56.32740784,56.20000076,60.29999924,62.09999847,62.27306747,..
Ghana,56.50999832,70.69999695,78.30000305,74.07884216,79.30000305,79,80.40000153,83.5,85.87355042,..
Guinea,26.20000076,31.97595787,33.3531189,34.745121,33.5,35.40000153,45,42.20000076,44.66867828,..
Guinea-Bissau,14.80388546,16.22768974,17.20000076,20.05315399,22.96879196,26,28.49505615,30.96155739,33.33546829,..
"Iran, Islamic Rep.",99.64328003,99.83000183,100,99.95999908,99.94999695,99.94000244,100,100,100,..
Iraq,99.30000305,98.8662796,99.09843445,99.34542847,99.60430145,99.87207031,99.90000153,99.99200439,100,..
Israel,100,100,100,100,100,100,100,100,100,..
