Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,73.48390432,73.78543123,74.07416957,74.27460633,74.50953763,74.70231735,74.88261955,75.06872169,75.06311508,..
Algeria,76.637,76.863,77.085,77.306,77.524,77.735,77.938,78.133,78.321,..
Angola,59.992,60.841,61.591,62.237,62.783,63.252,63.666,64.039,64.383,..
Bahrain,77.392,77.544,77.696,77.848,77.997,78.143,78.285,78.423,78.557,..
Benin,61.262,61.527,61.799,62.082,62.379,62.687,63.003,63.324,63.646,..
Botswana,66.015,67.544,68.89,70.013,70.893,71.559,72.049,72.386,72.604,..
Burkina Faso,58.91,59.492,60.03,60.525,60.988,61.43,61.863,62.294,62.724,..
Burundi,60.328,60.913,61.433,61.893,62.301,62.675,63.031,63.377,63.721,..
Cabo Verde,74.89,75.058,75.236,75.423,75.616,75.812,76.007,76.197,76.384,..
Cameroon,57.377,57.904,58.418,58.908,59.367,59.795,60.192,60.561,60.904,..
Central African Republic,50.242,51.065,51.928,52.793,53.614,54.354,54.991,55.514,55.932,..
Chad,53.294,53.777,54.196,54.552,54.856,55.132,55.4,55.669,55.945,..
Comoros,64.263,64.606,64.917,65.195,65.444,65.675,65.9,66.121,66.341,..
"Congo, Dem. Rep.",59.346,59.821,60.282,60.726,61.147,61.539,61.901,62.233,62.54,..
"Congo, Rep.",62.515,63.153,63.765,64.339,64.86,65.316,65.703,66.023,66.287,..
Cote d'Ivoire,55.609,56.208,56.791,57.344,57.854,58.32,58.741,59.119,59.455,..
Djibouti,63.066,63.994,65.021,66.086,67.109,68.023,68.778,69.357,69.766,..
"Egypt, Arab Rep.",72.97,73.161,73.36,73.563,73.766,73.967,74.162,74.35,74.53,..
Equatorial Guinea,57.562,57.919,58.266,58.603,58.932,59.259,59.587,59.918,60.25,..
Eritrea,65.348,65.858,66.355,66.838,67.303,67.745,68.162,68.555,68.924,..
Eswatini,53.012,55.154,57.322,59.383,61.214,62.753,63.968,64.845,65.411,..
Ethiopia,65.065,65.783,66.399,66.926,67.378,67.784,68.165,68.536,68.905,..
Gabon,64.395,65.208,65.991,66.713,67.346,67.883,68.323,68.669,68.931,..
"Gambia, The",61.508,61.764,62.017,62.275,62.548,62.84,63.151,63.481,63.827,..
Ghana,62.648,62.999,63.366,63.747,64.13,64.503,64.852,65.177,65.477,..
Guinea,58.402,58.883,59.417,59.993,60.585,61.153,61.666,62.117,62.507,..
Guinea-Bissau,57.876,58.304,58.686,59.024,59.329,59.62,59.913,60.213,60.524,..
"Iran, Islamic Rep.",76.06,76.357,76.645,76.922,77.187,77.436,77.668,77.885,78.088,..
Iraq,71.609,71.719,71.847,71.993,72.152,72.318,72.486,72.652,72.815,..
Israel,83.6,83.9,84.1,84.1,84.2,84.6,84.8,84.7,84.8,..
Jordan,75.424,75.566,75.697,75.817,75.934,76.052,76.175,76.306,76.445,..
Kenya,64.815,65.647,66.415,67.111,67.721,68.244,68.684,69.049,69.352,..
Kuwait,75.779,75.933,76.063,76.173,76.269,76.364,76.467,76.58,76.706,..
Lebanon,80.586,80.654,80.699,80.731,80.758,80.786,80.821,80.869,80.934,..
Lesotho,50.531,51.829,53.094,54.266,55.299,56.194,56.954,57.58,58.087,..
Liberia,62.224,62.692,63.181,63.688,64.198,64.68,65.114,65.497,65.831,..
Libya,75.012,75.069,75.161,75.29,75.449,75.619,75.788,75.951,76.105,..
Madagascar,65.777,66.226,66.664,67.091,67.506,67.909,68.301,68.682,69.051,..
Malawi,61.562,62.911,64.065,65.016,65.776,66.4,66.937,67.413,67.85,..
Mali,56.769,57.225,57.7,58.194,58.695,59.185,59.649,60.085,60.492,..
Malta,83,84,84.3,84.1,84.4,84.6,84.6,84.6,84.6,..
Mauritania,64.809,65.07,65.328,65.58,65.824,66.061,66.292,66.515,66.731,..
Mauritius,77.5,77.5,77.58,77.79,77.76,77.89,77.72,77.56,77.66,..
Morocco,76.233,76.483,76.724,76.963,77.202,77.438,77.668,77.895,78.118,..
Mozambique,56.466,57.553,58.727,59.921,61.063,62.091,62.966,63.671,64.211,..
Namibia,61.746,63.046,64.089,64.866,65.412,65.823,66.18,66.516,66.853,..
Niger,59.886,60.579,61.214,61.789,62.305,62.776,63.212,63.621,64.01,..
Nigeria,52.579,53.042,53.506,53.967,54.415,54.843,55.244,55.619,55.969,..
Oman,78.638,78.885,79.141,79.401,79.659,79.906,80.134,80.343,80.534,..
Qatar,81.049,81.198,81.34,81.477,81.61,81.743,81.876,82.01,82.146,..
Rwanda,67.258,68.101,68.821,69.434,69.954,70.398,70.784,71.132,71.456,..
Sao Tome and Principe,70.601,71.015,71.394,71.739,72.05,72.329,72.583,72.814,73.029,..
Saudi Arabia,75.871,76.02,76.15,76.264,76.373,76.487,76.615,76.759,76.919,..
Senegal,67.152,67.717,68.21,68.634,68.999,69.324,69.627,69.918,70.203,..
Seychelles,79.5,76.5,78.3,78.7,80.2,78.5,77.4,78.4,82,..
Sierra Leone,51.878,52.587,53.216,53.77,54.258,54.697,55.106,55.495,55.875,..
Somalia,56.363,56.765,57.182,57.605,58.022,58.42,58.791,59.132,59.443,..
South Africa,63.236,64.394,65.359,66.108,66.654,67.064,67.398,67.679,67.93,..
South Sudan,57.178,57.642,58.034,58.362,58.64,58.891,59.135,59.383,59.64,..
Sudan,65.284,65.615,65.919,66.198,66.457,66.705,66.947,67.187,67.429,..
Syrian Arab Republic,76.522,76.51,76.601,76.798,77.084,77.418,77.763,78.103,78.419,..
Tanzania,62.482,63.461,64.349,65.127,65.786,66.346,66.824,67.233,67.587,..
Togo,59.365,59.889,60.334,60.706,61.023,61.317,61.612,61.918,62.239,..
Tunisia,77.578,77.695,77.832,77.99,78.165,78.35,78.536,78.721,78.903,..
Uganda,60.683,61.616,62.496,63.303,64.018,64.64,65.173,65.622,66.001,..
United Arab Emirates,78.143,78.325,78.504,78.678,78.846,79.008,79.164,79.314,79.458,..
West Bank and Gaza,74.817,74.938,75.057,75.178,75.307,75.446,75.595,75.755,75.924,..
"Yemen, Rep.",67.617,67.718,67.77,67.789,67.789,67.786,67.795,67.826,67.885,..
Zambia,60.708,62.041,63.248,64.297,65.168,65.878,66.447,66.891,67.236,..
Zimbabwe,56.578,58.412,59.892,60.984,61.719,62.22,62.598,62.899,63.164,..
