Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,59.31578948,60.41724248,61.79685967,63.06847757,64.29953707,65.77361784,67.14703193,68.45717099,69.68183942,..
Algeria,99.4,99.4,99.5,99.5,99.6,99.6,99.6,99.7,99.7,..
Angola,45.2,45.8,46.5,47.2,47.8,48.4,49.1,49.5,50.2,..
Bahrain,100,100,100,100,100,100,100,100,100,..
Benin,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4,4,..
Botswana,60.2,60.8,61.3,61.7,62.4,63,63.8,63.9,64.7,..
Burkina Faso,6.7,7.1,7.6,8.1,8.7,9,9.5,10.1,10.6,..
Burundi,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,..
Cabo Verde,72,73.2,74.4,75.5,76.5,77.8,78.9,80.2,81,..
Cameroon,20.8,21.4,21.7,22,22.2,22.2,22.1,22.2,21.9,..
Central African Republic,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,..
Chad,2.9,3.3,3.7,4.1,4.6,5.1,5.5,6.1,6.8,..
Comoros,4.2,4.8,5.3,5.7,6.3,6.8,7.3,7.8,8.4,..
"Congo, Dem. Rep.",3.5,3.7,3.8,3.7,3.7,3.8,3.6,3.75,3.7,..
"Congo, Rep.",20.05,21.8,23.5,25.4,27.4,29.5,31.05,32.6,34.9,..
Cote d'Ivoire,19.4,20.6,21.7,23.1,24.9,26.55,28.4,30.3,31.8,..
Djibouti,7.2,7.8,8.1,8.4,8.75,9,9.3,9.5,9.65,..
"Egypt, Arab Rep.",99.55,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9,..
Equatorial Guinea,24,23.6,23.9,24,23.9,24.2,24.1,24,24.5,..
Eritrea,8.6,8.9,8.9,9,9,9.2,9.1,9.2,9.3,..
Eswatini,42.7,44.2,46.3,47.6,49.2,50.6,52.4,53.8,55.4,..
Ethiopia,2.9,3.2,3.7,4.3,4.9,5.45,6.2,7,7.8,..
Gabon,82.65,83.6,84.65,85.6,86.2,86.8,87.4,87.8,88.1,..
"Gambia, The",2.3,2.2,2.1,2,1.9,1.9,1.8,1.8,1.7,..
Ghana,18.7,19.6,20.5,21.1,21.8,21.9,22.2,22.4,22.2,..
Guinea,0.8,0.8,0.9,1,1.1,1.2,1.4,1.6,1.9,..
Guinea-Bissau,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1,1.1,..
"Iran, Islamic Rep.",96.7,96.6,96.7,96.6,96.7,96.7,96.5,96.4,96.1,..
Iraq,96.7,97.3,97.7,98.1,98.3,98.7,98.8,98.9,99,..
Israel,100,100,100,100,100,100,100,100,100,..
Jordan,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,..
Kenya,8.7,9.6,10.6,11.6,13,14.4,16,17.7,19.5,..
Kuwait,100,100,100,100,100,100,100,100,100,..
Lebanon,..,..,..,..,..,..,..,..,..,..
Lesotho,33.8,34.95,35.8,36.5,37.4,38.1,38.7,39.3,40.1,..
Liberia,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,..
Libya,..,..,..,..,..,..,..,..,..,..
Madagascar,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,..
Malawi,2.4,2.3,2.2,2,1.8,1.6,1.3,1.2,1,..
Mali,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,..
Malta,100,100,100,100,100,100,100,100,100,..
Mauritania,42.7,43,43.1,43.1,43.3,43.2,43.3,43,42.6,..
Mauritius,97.1,97.1,97.25,97.2,97.1,97.1,97,96.9,96.8,..
Morocco,97.1,97.3,97.4,97.7,97.8,97.9,97.9,98,98.1,..
Mozambique,3.4,3.5,3.7,3.9,4.2,4.35,4.6,4.8,5.1,..
Namibia,42.2,43,43.6,44.3,45.2,45.6,46,46.5,46.8,..
Niger,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.4,..
Nigeria,2.7,3.4,4.2,5.4,6.85,8.7,10.7,12.9,15,..
Oman,100,100,100,100,100,100,100,100,100,..
Qatar,100,100,100,100,100,100,100,100,100,..
Rwanda,0.3,0.4,0.5,0.6,0.9,1.1,1.4,1.9,2.4,..
Sao Tome and Principe,1.5,1.7,1.9,2.1,2.3,2.6,2.7,3,3.3,..
Saudi Arabia,100,100,100,100,100,100,100,100,100,..
Senegal,30.8,29.3,28.4,27.3,26.5,25.9,25.2,24.7,24.2,..
Seychelles,100,100,100,100,100,100,100,100,100,..
Sierra Leone,0.4,0.5,0.5,0.5,0.5,0.6,0.65,0.7,0.8,..
Somalia,1.4,1.6,1.8,2,2.3,2.4,2.7,2.9,3.2,..
South Africa,80.2,81.5,82.65,83.4,84.4,85.2,85.7,86.3,86.8,..
South Sudan,0,0,0,0,0,0,0,0,0,..
Sudan,38.95,40.95,43.3,45.4,47.9,49.8,51.3,53.6,54.7,..
Syrian Arab Republic,98.4,98.2,98,97.9,97.6,97.6,97.2,97.3,96.9,..
Tanzania,1.9,2.2,2.5,2.9,3.3,3.6,3.9,4.3,4.5,..
Togo,4.5,5.3,6,6.6,7.3,8,8.6,9.25,10.1,..
Tunisia,99.6,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,..
Uganda,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.5,0.5,..
United Arab Emirates,100,100,100,100,100,100,100,100,100,..
West Bank and Gaza,..,..,..,..,..,..,..,..,..,..
"Yemen, Rep.",60,60.3,60.8,61.1,61.2,61.35,61.5,61.3,61.5,..
Zambia,15.5,15.1,14.6,14,13.4,12.5,11.9,11.2,10.4,..
Zimbabwe,29.8,29.8,29.5,29.5,29.8,29.8,29.9,30.1,30.4,..
