Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Algeria,100.384679,103.6101395,111.2386102,108.8089403,116.0042077,110.7672465,111.6647921,105.510594,103.8873168,..
Angola,50.92059955,51.06592034,52.15898327,49.79322295,45.07629005,44.68610714,43.13051888,46.59863797,44.55951073,..
Bahrain,163.3841919,168.0717065,174.3161125,183.6245336,210.0492218,158.2568089,133.3409369,115.7929212,102.7678474,..
Benin,86.41824256,96.23029067,84.18939764,88.1051181,81.7921125,78.50459562,82.38429039,87.70201313,91.8972796,..
Botswana,151.097886,157.4163123,163.2901277,163.8751723,152.2730166,146.9601556,150.0055899,162.6411807,162.8407907,..
Burkina Faso,60.20127144,65.84096268,71.04725171,79.77028842,82.61152567,93.50365342,97.91227142,100.2122395,105.8074398,..
Burundi,24.30379533,26.59070882,32.4376271,49.18977601,51.08522649,54.68367609,56.53470747,56.64970019,55.76714706,..
Cabo Verde,84.18062882,97.59842735,118.3508242,116.527138,113.331551,113.909075,112.2407207,108.3184376,97.97513251,..
Cameroon,61.00952443,70.95374098,75.1219918,77.94823655,78.22900593,81.96421137,73.19019901,82.70374759,84.19507778,..
Central African Republic,25.7666098,30.58266921,25.88652999,27.65294881,27.51062987,25.57404521,27.41449024,33.61921611,37.91073151,..
Chad,34.43385283,34.50146451,38.43476879,38.73436811,38.35901264,42.40996705,45.12373876,48.06483101,52.88702622,..
Comoros,39.16595637,46.86414792,50.43521774,54.64019634,57.11331939,57.6137866,59.94110452,67.60224049,89.87788652,..
"Congo, Dem. Rep.",29.11107004,39.56330156,50.29719681,49.51538827,36.66662914,43.45919307,43.38221502,42.77332121,45.55354721,..
"Congo, Rep.",94.96552148,100.8003873,104.076947,107.4114077,108.8938839,98.92979331,95.34053637,91.90582005,88.61766768,..
Cote d'Ivoire,83.99950843,87.79127782,97.60192256,109.3922913,115.2314132,129.9121104,134.8579514,145.340692,152.0010217,..
Djibouti,24.47401735,27.63782799,31.94064727,34.3930424,37.15870638,39.51407638,41.19590415,42.51057973,43.93066802,..
"Egypt, Arab Rep.",112.006814,112.7825069,105.409341,101.7022519,103.540997,106.7559394,95.28659682,94.97170247,93.1821785,..
Equatorial Guinea,48.5920649,47.45232546,46.02607021,45.64013391,47.37158281,44.85832828,45.16686721,45.50194471,45.9734067,..
Eritrea,9.39303406,10.81363751,12.60475399,14.20956809,14.9856792,20.36395515,..,37.48802228,50.78359281,..
Eswatini,74.58620869,82.16458127,83.72457464,85.23211031,89.31801432,93.52732251,..,102.4274255,107.140025,..
Ethiopia,22.13367446,26.88750898,31.08234717,41.96106195,49.44236323,37.2180717,..,37.40227963,38.70790811,..
Gabon,146.1824492,151.0798973,155.6816541,144.8670371,147.543495,128.9816609,138.2809687,137.75384,137.0123294,..
"Gambia, The",80.11446641,94.1509753,112.8282417,130.1943563,132.0589763,133.9723898,139.5290282,110.0953015,110.8118285,..
Ghana,98.54586684,105.3324411,111.5201422,125.7069529,134.4889824,126.2016214,137.5171658,134.3193846,130.2149362,..
Guinea,52.42849932,68.26949356,77.87206544,94.15602819,94.64639604,96.95447755,96.76749212,100.7967429,105.0423767,..
