Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,46.68885153,45.89136937,45.05694843,44.22326982,43.3273777,42.41976442,42.00173558,41.54593807,41.03715165,..
Algeria,11.556,11.259,10.962,10.665,10.368,10.071,9.8338,9.5966,9.3594,..
Angola,167.4,164.0252,160.6504,157.2756,153.9008,150.526,147.958,145.39,142.822,..
Bahrain,13.993,13.868,13.743,13.618,13.493,13.368,13.239,13.11,12.981,..
Benin,96.365,94.3112,92.2574,90.2036,88.1498,86.096,84.0364,81.9768,79.9172,..
Botswana,48.15,47.7322,47.3144,46.8966,46.4788,46.061,45.358,44.655,43.952,..
Burkina Faso,115.408,113.1922,110.9764,108.7606,106.5448,104.329,102.0658,99.8026,97.5394,..
Burundi,60.69,59.67,58.65,57.63,56.61,55.59,54.7516,53.9132,53.0748,..
Cabo Verde,78.651,77.6726,76.6942,75.7158,74.7374,73.759,72.6946,71.6302,70.5658,..
Cameroon,120.959,117.9272,114.8954,111.8636,108.8318,105.8,103.4938,101.1876,98.8814,..
Central African Republic,138.465,136.5868,134.7086,132.8304,130.9522,129.074,126.9636,124.8532,122.7428,..
Chad,178.22,174.794,171.368,167.942,164.516,161.09,157.9144,154.7388,151.5632,..
Comoros,74.446,72.627,70.808,68.989,67.17,65.351,64.0606,62.7702,61.4798,..
"Congo, Dem. Rep.",129.344,128.3192,127.2944,126.2696,125.2448,124.22,122.6056,120.9912,119.3768,..
"Congo, Rep.",118.346,117.1226,115.8992,114.6758,113.4524,112.229,110.9356,109.6422,108.3488,..
Cote d'Ivoire,124.413,123.0558,121.6986,120.3414,118.9842,117.627,116.1584,114.6898,113.2212,..
Djibouti,21.712,21.1378,20.5636,19.9894,19.4152,18.841,18.4434,18.0458,17.6482,..
"Egypt, Arab Rep.",55.759,55.371,54.983,54.595,54.207,53.819,53.086,52.353,51.62,..
Equatorial Guinea,166.776,164.5452,162.3144,160.0836,157.8528,155.622,153.4524,151.2828,149.1132,..
Eritrea,60.317,58.7642,57.2114,55.6586,54.1058,52.553,50.7028,48.8526,47.0024,..
Eswatini,79.81,79.187,78.564,77.941,77.318,76.695,75.3554,74.0158,72.6762,..
Ethiopia,77.978,75.7278,73.4776,71.2274,68.9772,66.727,65.0748,63.4226,61.7704,..
Gabon,106.166,104.1782,102.1904,100.2026,98.2148,96.227,93.5644,90.9018,88.2392,..
"Gambia, The",90.893,88.3514,85.8098,83.2682,80.7266,78.185,75.7058,73.2266,70.7474,..
Ghana,71.776,70.743,69.71,68.677,67.644,66.611,65.7842,64.9574,64.1306,..
Guinea,145.873,143.7572,141.6414,139.5256,137.4098,135.294,133.365,131.436,129.507,..
Guinea-Bissau,107.8,107.2046,106.6092,106.0138,105.4184,104.823,103.2252,101.6274,100.0296,..
"Iran, Islamic Rep.",34.571,35.7838,36.9966,38.2094,39.4222,40.635,40.6932,40.7514,40.8096,..
Iraq,79.493,77.941,76.389,74.837,73.285,71.733,71.7416,71.7502,71.7588,..
Israel,11.543,11.1558,10.7686,10.3814,9.9942,9.607,9.192,8.777,8.362,..
Jordan,28.084,27.6426,27.2012,26.7598,26.3184,25.877,25.8414,25.8058,25.7702,..
Kenya,86.153,83.938,81.723,79.508,77.293,75.078,74.044,73.01,71.976,..
Kuwait,9.446,9.1956,8.9452,8.6948,8.4444,8.194,7.8858,7.5776,7.2694,..
Lebanon,16.474,16.0792,15.6844,15.2896,14.8948,14.5,14.2238,13.9476,13.6714,..
Lesotho,89.012,89.7548,90.4976,91.2404,91.9832,92.726,92.578,92.43,92.282,..
Liberia,139.042,138.426,137.81,137.194,136.578,135.962,135.5662,135.1704,134.7746,..
Libya,6.125,6.0538,5.9826,5.9114,5.8402,5.769,5.7148,5.6606,5.6064,..
Madagascar,120.032,117.9436,115.8552,113.7668,111.6784,109.59,107.7374,105.8848,104.0322,..
Malawi,144.243,141.9286,139.6142,137.2998,134.9854,132.671,132.0948,131.5186,130.9424,..
