Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,2390502793,2549720670,2534636872,2727849721,2790849162,2962905028,2983636872,3092430168,3202188607,,,
Africa Eastern and Southern,8.47E+11,9.43E+11,9.51E+11,9.64E+11,9.85E+11,9.20E+11,8.73E+11,9.85E+11,1.01E+12,1.01E+12,9.21E+11,
Afghanistan,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,20116137326,
Africa Western and Central,5.92E+11,6.71E+11,7.28E+11,8.21E+11,8.65E+11,7.61E+11,6.91E+11,6.84E+11,7.42E+11,7.95E+11,7.85E+11,
Angola,83799496611,1.12E+11,1.28E+11,1.37E+11,1.46E+11,1.16E+11,1.01E+11,1.22E+11,1.01E+11,89417190341,58375976293,
Albania,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15400242875,14887629268,
Andorra,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3155065488,,
Arab World,2.31E+12,2.50E+12,2.74E+12,2.80E+12,2.83E+12,2.46E+12,2.41E+12,2.47E+12,2.73E+12,2.78E+12,2.45E+12,
United Arab Emirates,2.90E+11,3.51E+11,3.75E+11,3.90E+11,4.03E+11,3.58E+11,3.57E+11,3.86E+11,4.22E+11,4.17E+11,3.59E+11,
Argentina,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11,5.25E+11,4.52E+11,3.89E+11,
Armenia,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13619291361,12641209802,
American Samoa,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,648000000,709000000,
Antigua and Barbuda,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605944444,1687533333,1370281481,
Australia,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12,
Austria,3.92E+11,4.32E+11,4.09E+11,4.30E+11,4.43E+11,3.82E+11,3.96E+11,4.17E+11,4.55E+11,4.45E+11,4.33E+11,
Azerbaijan,52909294792,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48174235294,42607176471,
Burundi,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2732808557,2748180474,2668495743,2631434363,2841786382,
Belgium,4.81E+11,5.23E+11,4.96E+11,5.22E+11,5.35E+11,4.62E+11,4.76E+11,5.03E+11,5.43E+11,5.35E+11,5.22E+11,
Benin,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701654743,14262407012,14391686633,15651545332,
Burkina Faso,10109618964,12080296644,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830,15890065020,16178162030,17933606353,
Bangladesh,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.21E+11,2.50E+11,2.74E+11,3.03E+11,3.23E+11,
Bulgaria,50682061053,57678241024,54300857424,55810138436,57082011260,50781996713,53953897624,59199447421,66363422450,68915416142,69889347433,
Bahrain,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37801462766,38652579787,34729228723,
"Bahamas, The",10095760000,10070450000,10720500000,10494600000,11142900000,11890600000,11992600000,12359700000,12837800000,13164400000,9907500000,
Bosnia and Herzegovina,17176781046,18644723854,17221192466,18172335776,18560861389,16219819017,16914287349,18079075771,20177409351,20201323260,19946496563,
Belarus,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,64409647194,60258239056,
Belize,1377177100,1460797903,1522897506,1579411253,1667335061,1721700991,1789304088,1858529677,1915899787,1982518541,1636280797,
Bermuda,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000,6842700000,
Bolivia,19649631314,23963033431,27084497483,30659338880,32996188013,33000198248,33941126200,37508642165,40287647930,40895322844,36572764863,
Brazil,2.21E+12,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.06E+12,1.92E+12,1.88E+12,1.44E+12,
Barbados,4530000000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000,4418000000,
Brunei Darussalam,13707370737,18525319978,19047940301,18093829923,17098342541,12930394938,11400854268,12128104859,13567351175,13469422959,12005825770,
Bhutan,1547991318,1777101317,1781281282,1756215665,1907090813,2003598213,2158972129,2450364928,2446866405,2535657069,2315437338,
Botswana,12786654498,15351972361,14380004175,14901750991,15654660710,13578754072,15082578065,16088437675,16914245098,16593720656,15061922802,
Central African Republic,2142591376,2437982840,2510126699,1691544192,1894813505,1695825708,1825018191,2072349794,2220978978,2220307369,2380087758,
Canada,1.62E+12,1.79E+12,1.83E+12,1.85E+12,1.81E+12,1.56E+12,1.53E+12,1.65E+12,1.73E+12,1.74E+12,1.65E+12,
Central Europe and the Baltics,1.32E+12,1.45E+12,1.35E+12,1.42E+12,1.47E+12,1.29E+12,1.32E+12,1.46E+12,1.65E+12,1.67E+12,1.65E+12,
Switzerland,6.03E+11,7.22E+11,6.92E+11,7.13E+11,7.34E+11,7.02E+11,6.96E+11,7.04E+11,7.36E+11,7.32E+11,7.52E+11,
Channel Islands,,,,,,,,,,,,
Chile,2.19E+11,2.52E+11,2.67E+11,2.78E+11,2.61E+11,2.44E+11,2.50E+11,2.77E+11,2.98E+11,2.79E+11,2.53E+11,
China,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13,1.47E+13,
Cote d'Ivoire,34936305297,36693712825,36302305578,42760237561,48843008580,45814637971,47964234560,51588158718,58011466451,58539424930,61348579465,
Cameroon,27507499709,30630912185,30155064574,33728622819,36386546918,32210232912,33814337900,36098550142,39973839065,39670977333,40804449726,
"Congo, Dem. Rep.",21565720044,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,47146004587,50400747050,48716960860,
"Congo, Rep.",13135580695,15634897273,17693924573,17953617927,17889079958,11885478502,10215989995,11090177747,13670036996,12750339023,10187122341,
Colombia,2.87E+11,3.35E+11,3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11,3.34E+11,3.23E+11,2.71E+11,
Comoros,907978723.5,1023086184,1015843369,1116224161,1149587652,966029542,1012835518,1077439663,1188797575,1192559739,1235400352,
Cabo Verde,1664310770,1865915544,1741809809,1850470042,1859898513,1596800287,1662998678,1768319144,1966503223,1981845741,1703698677,
Costa Rica,37658614803,42762617082,47231651863,50949672206,52016408951,56441917653,58847016045,60516043590,62420165100,64072870932,61846895121,
Caribbean small states,64524447018,69668271733,72051115324,73345409464,74470922980,73243299833,69598702058,71693634217,75312833438,76173669481,66039332389,
Cuba,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.00E+11,1.03E+11,1.07E+11,
Curacao,,3038699609,3131096089,3147616201,3158406034,3151910782,3122287933,3116610112,3127908045,3101787709,2595821709,
