Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,61.66030072,61.39296358,61.18617669,61.05034871,60.87752868,60.70529993,60.54223932,60.51962373,58.61234262,58.99012994
Algeria,42,43.20000076,41.15000153,41.70999908,41.86999893,41.84000015,41.8030014,41.80699921,39.87400055,40.22299957
Angola,77.33100128,77.33200073,77.32700348,77.31300354,77.3010025,77.28099823,77.25099945,77.21299744,76.14700317,76.45899963
Bahrain,71.17299652,71.30599976,71.43800354,71.56999969,71.65299988,71.78199768,72.04399872,72.27600098,69.93000031,70.30599976
Benin,71.84600067,71.80599976,71.76100159,71.71199799,71.67099762,71.62400055,71.57099915,71.51300049,70.83399963,70.9469986
Botswana,59.38000107,59.50400162,59.62900162,59.75299835,59.87799835,60.0019989,60.12599945,60.25,60.72000122,60.49000168
Burkina Faso,67.47599792,66.55400085,65.62000275,65.58399963,65.5490036,65.51100159,65.46700287,65.41600037,64.79499817,64.8710022
Burundi,79.84799957,79.39800262,78.94000244,78.9509964,78.95700073,78.95600128,78.94799805,78.93399811,78.18399811,78.2009964
Cabo Verde,58.58200073,58.61999893,58.69100189,58.77500153,58.84500122,58.93799973,55.42699814,57.23600006,52.98699951,54.31299973
Cameroon,76.20999908,76.19400024,76.17299652,76.14399719,76.11699677,76.08100128,76.03800201,75.98899841,75.26699829,75.42099762
Central African Republic,71.86399841,71.91500092,71.9509964,71.97499847,71.91699982,71.84600067,71.76499939,71.6780014,70.89600372,71.24199677
Chad,63.07799911,62.55699921,62.03300095,61.50600052,60.97700119,60.44499969,59.90999985,59.83800125,57.86199951,58.34199905
Comoros,43.84799957,44.1590004,44.47000122,44.40999985,44.36100006,44.29999924,44.23099899,44.15599823,43.16999817,43.36100006
"Congo, Dem. Rep.",66.02999878,66.04000092,66.04000092,66.02999878,66.02999878,66.01599884,65.98799896,65.9489975,64.81500244,65.09799957
"Congo, Rep.",67.95800018,67.98200226,67.99500275,67.99700165,67.97699738,67.94400024,67.89800262,67.84100342,65.71600342,66.3239975
Cote d'Ivoire,58.52500153,58.03499985,57.54299927,57.04999924,56.55599976,56.06000137,56.00099945,55.94300079,55.4109993,55.49900055
Djibouti,32.69499969,32.60599899,32.51599884,32.41699982,32.35900116,32.27000046,32.16600037,32.07300186,31.44000053,31.4260006
"Egypt, Arab Rep.",48.49000168,48.43999863,48.11999893,46.97999954,46.68000031,45.00999832,43.34999847,42.20999908,41.21500015,41.25600052
Equatorial Guinea,56.09799957,56.03699875,55.98199844,55.92599869,55.90299988,55.85699844,55.81000137,55.76499939,54.52399826,54.93199921
Eritrea,79.7460022,79.84899902,79.94100189,80.02100372,79.97699738,79.95700073,79.93699646,79.88999939,75.18399811,76.83399963
Eswatini,51.46300125,51.38399887,51.31800079,51.27099991,51.13999939,51.05199814,50.98500061,50.90299988,48.94400024,49.5019989
Ethiopia,81.33899689,81.23999786,81.13400269,81.02799988,80.94200134,80.85299683,80.76399994,80.67900085,77.52200317,78.46399689
Gabon,48.56399918,48.49900055,48.45299911,48.41999817,48.49399948,48.56200027,48.62200165,48.66600037,48.20399857,48.26499939
"Gambia, The",58.95999908,58.92100143,58.88100052,58.8390007,58.82500076,58.80199814,58.77099991,58.72999954,56.77099991,57.40000153
Ghana,70.3710022,70,69.62599945,69.25,69.21299744,69.16899872,69.12000275,69.06900024,68.41300201,68.41699982
Guinea,64.15200043,64.08799744,64.02100372,63.95299911,63.84799957,63.74200058,63.63499832,63.52700043,61.69300079,62.12099838
Guinea-Bissau,71.46499634,71.44300079,71.41799927,71.38999939,71.3710022,71.34500122,71.31099701,71.26699829,70.58999634,70.8239975
"Iran, Islamic Rep.",40.56000137,40.54000092,40.22999954,41.34999847,42.59000015,43.74000168,44.02999878,43.68999863,40.95000076,41.32400131
Iraq,40.99000168,41.95700073,42.93000031,43.04000092,43.15000153,41.88999939,42.09700012,42.03900146,41.38700104,41.51599884
Israel,63.58000183,63.68000031,64.20999908,64.08999634,64.13999939,64,63.93000031,63.5,61.79000092,62.23799896
Jordan,39.54299927,39.70399857,39.83200073,39.97299957,40.09700012,40.18999863,39.15999985,39.24000168,37.7859993,38.13100052
Kenya,73.94400024,74.06099701,74.17700195,74.29399872,74.41000366,74.27999878,74.14499664,74.0059967,73.08899689,73.23899841
Kuwait,71.65000153,72.20800018,72.75900269,73.3030014,73.83999634,74.25900269,74.29000092,74.36000061,68.89299774,70.48999786
Lebanon,42.90000153,43,43.12599945,43.31999969,43.43500137,43.52799988,43.73699951,44.14099884,42.29199982,42.47200012
Lesotho,65.8219986,65.23999786,65.15899658,65.06300354,65.02100372,64.96199799,64.89900208,64.83899689,63.20899963,63.56000137
Liberia,77.15299988,77.11299896,77.06099701,76.99900055,76.94000244,76.8730011,76.80000305,76.72200012,73.97499847,74.73100281
Libya,47.75,47.70299911,47.65499878,47.60699844,47.58499908,47.56800079,47.55699921,47.54999924,47.09799957,47.57899857
Madagascar,86.55000305,86.4940033,86.43699646,86.37999725,86.33200073,86.28800201,86.2460022,86.20500183,84.08200073,84.53299713
Malawi,77.71399689,77.73999786,77.67500305,77.60700226,77.52400208,77.44499969,77.36399841,77.27400208,75.05899811,75.63200378
Mali,70.59400177,70.61399841,70.62000275,70.55999756,69.86499786,69.16000366,69.11699677,69.05899811,68.40299988,68.55999756
Malta,52.56999969,54.11999893,55.27000046,55.74000168,56.72999954,57.90000153,60.08000183,61.5,62.34000015,62.23199844
Mauritania,45.41999817,45.38800049,45.35599899,45.32400131,45.29199982,45.25999832,45.20999908,45.15499878,44.72600174,44.74200058
Mauritius,57.43000031,58.45700073,58.70700073,59.07099915,58.29299927,58.47100067,57.77399826,58.22000122,56.47299957,56.64899826
Morocco,48.40999985,48.31000137,48.06000137,47.47000122,46.54999924,45.5,45.45500183,45.43899918,43.15599823,43.56000137
Mozambique,81.0059967,80.37000275,79.71800232,79.05000305,79.01899719,78.98000336,78.93599701,78.88999939,78.13999939,78.26100159
Namibia,57.52999878,61.70000076,60.83000183,60.63999939,60.45000076,59.66699982,58.88000107,58.87900162,57.99399948,58.17399979
Niger,77.65399933,75.66999817,73.56999969,73.55599976,73.55500031,73.54199982,73.51999664,73.49199677,72.79299927,72.93399811
Nigeria,57.86100006,55.27000046,55.2120018,55.15299988,55.09500122,55.03699875,54.97800064,54.91999817,53.44400024,53.80199814
Oman,66.33000183,67.47100067,68.59200287,69.69200134,70.76999664,70.99199677,71.07099915,71.20300293,66.98899841,68.23200226
Qatar,87.2480011,87.47899628,87.82299805,88.25299835,88.17900085,88.14900208,88.1780014,88.30899811,87.40899658,87.29699707
Rwanda,83.8710022,83.73100281,83.58999634,83.56300354,83.52300262,83.4940033,83.47000122,83.43800354,82.15699768,82.36699677
Sao Tome and Principe,54.78699875,54.79800034,54.78900146,54.75500107,54.69499969,54.61600113,54.51900101,54.4109993,53.11199951,53.40499878
Saudi Arabia,54.11999893,54,54.06000137,54.02000046,54.95000076,54.91999817,55.86000061,58.82500076,61,60.51499939
Senegal,46.98899841,46.48799896,45.98899841,45.49000168,45.46300125,45.42399979,45.37400055,45.31499863,44.29800034,44.53499985
Seychelles,..,..,..,..,..,..,..,..,..,..
Sierra Leone,58.8429985,57.90000153,56.95000076,56.8769989,56.80699921,56.73500061,56.6590004,56.57400131,56.0359993,56.00600052
Somalia,34.44300079,34.37400055,34.30199814,34.23699951,34.1780014,34.12799835,34.08200073,34.02999878,33.70700073,33.79399872
South Africa,52.50999832,53.08000183,53.31000137,54.59000015,54.70999908,55.36000061,55.15999985,55.27000046,50.54999924,52.87099838
South Sudan,74.02899933,73.98100281,73.9240036,73.85700226,73.80899811,73.76000214,73.70700073,73.65000153,71.17700195,71.99700165
Sudan,49.73099899,49.64300156,49.54700089,49.44800186,49.35599899,49.25999832,49.15999985,49.05799866,47.64300156,48.0359993
Syrian Arab Republic,43.5019989,43.63199997,43.76800156,43.88499832,43.97399902,44.04299927,44.09500122,44.14199829,42.68000031,43.00899887
Tanzania,85.1760025,84.58300018,83.97000122,83.95700073,83.93399811,83.90899658,83.87999725,83.84700012,83.05000305,83.27799988
Togo,58.36000061,58.32300186,58.27299881,58.21099854,58.14599991,58.06999969,57.98400116,57.88899994,57.3390007,57.4090004
Tunisia,47.77999878,47.41999817,47.24499893,47.06999969,47.16999817,46.97999954,46.89199829,46.88800049,45.99499893,45.90200043
Uganda,70.13999939,70.08399963,70.02100372,69.95400238,69.87599945,69.78800201,69.69100189,69.58300018,66.80999756,67.62200165
United Arab Emirates,79.49199677,79.76599884,80.03600311,80.30500031,80.56999969,80.76999664,79.19999695,79.18099976,75.68599701,76.42700195
West Bank and Gaza,41.68000031,41.79999924,42.11999893,43.97000122,43.77000046,44,43.45000076,44.27000046,40.93999863,41.70000076
"Yemen, Rep.",37.5019989,36.87400055,36.25,36.5719986,36.75500107,36.9090004,37.02500153,37.13100052,36.77799988,36.80400085
Zambia,74.58000183,74.54100037,74.49099731,74.4260025,74.35700226,74.27200317,74.17700195,74.08100128,73.37799835,73.43399811
Zimbabwe,83.11799622,83.83100128,84.51999664,84.54100037,84.55899811,84.54799652,84.51499939,84.47499847,83.44300079,83.73600006
