Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,69.02397919,69.30655368,69.57602313,69.78422262,70.01455306,70.22776761,70.41004406,70.59860873,70.57344206,..
Algeria,74.278,74.502,74.713,74.917,75.115,75.307,75.494,75.676,75.857,..
Angola,54.66,55.447,56.14,56.737,57.242,57.677,58.064,58.416,58.744,..
Bahrain,75.542,75.676,75.807,75.936,76.063,76.188,76.312,76.436,76.559,..
Benin,58.379,58.615,58.853,59.1,59.361,59.633,59.914,60.201,60.494,..
Botswana,60.916,62.282,63.474,64.458,65.22,65.79,66.204,66.485,66.665,..
Burkina Faso,57.705,58.249,58.739,59.183,59.592,59.981,60.361,60.739,61.119,..
Burundi,56.783,57.357,57.871,58.325,58.726,59.092,59.435,59.764,60.086,..
Cabo Verde,67.773,68.045,68.319,68.588,68.846,69.089,69.316,69.526,69.721,..
Cameroon,54.777,55.258,55.76,56.27,56.768,57.235,57.656,58.029,58.354,..
Central African Republic,47.029,47.678,48.338,48.985,49.594,50.152,50.649,51.081,51.454,..
Chad,50.579,51.014,51.403,51.743,52.041,52.315,52.577,52.835,53.093,..
Comoros,60.978,61.289,61.564,61.804,62.015,62.21,62.399,62.587,62.775,..
"Congo, Dem. Rep.",56.481,56.941,57.378,57.79,58.174,58.528,58.852,59.147,59.42,..
"Congo, Rep.",60.265,60.829,61.342,61.801,62.202,62.546,62.837,63.082,63.291,..
Cote d'Ivoire,53.091,53.756,54.375,54.935,55.428,55.864,56.251,56.593,56.897,..
Djibouti,59.876,60.659,61.516,62.399,63.245,64,64.629,65.116,65.467,..
"Egypt, Arab Rep.",68.596,68.791,68.974,69.144,69.302,69.453,69.599,69.742,69.883,..
Equatorial Guinea,55.198,55.56,55.935,56.315,56.692,57.059,57.41,57.743,58.056,..
Eritrea,61.198,61.666,62.121,62.565,62.994,63.404,63.79,64.153,64.496,..
Eswatini,47.133,48.683,50.263,51.781,53.152,54.329,55.284,56.007,56.515,..
Ethiopia,61.534,62.176,62.73,63.207,63.622,63.997,64.35,64.694,65.036,..
Gabon,61.44,62.09,62.665,63.153,63.552,63.879,64.152,64.382,64.577,..
"Gambia, The",58.915,59.151,59.377,59.602,59.836,60.088,60.362,60.656,60.969,..
Ghana,60.799,61.137,61.474,61.806,62.13,62.437,62.724,62.991,63.238,..
Guinea,57.222,57.824,58.423,59.003,59.546,60.04,60.477,60.855,61.18,..
Guinea-Bissau,53.288,53.803,54.299,54.765,55.198,55.597,55.965,56.305,56.62,..
"Iran, Islamic Rep.",73.566,74.038,74.435,74.755,75.007,75.217,75.409,75.593,75.775,..
Iraq,66.771,67.207,67.581,67.878,68.101,68.277,68.429,68.565,68.691,..
Israel,79.9,80.3,80.3,80.1,80.7,80.6,80.9,81,80.7,..
Jordan,72.137,72.247,72.346,72.441,72.533,72.628,72.73,72.839,72.956,..
Kenya,60.466,61.158,61.822,62.452,63.031,63.539,63.965,64.313,64.595,..
Kuwait,73.99,74.146,74.281,74.396,74.495,74.584,74.672,74.76,74.851,..
Lebanon,76.833,76.896,76.937,76.967,76.996,77.031,77.076,77.14,77.224,..
Lesotho,44.538,45.71,46.878,47.979,48.969,49.837,50.582,51.201,51.703,..
Liberia,59.126,59.698,60.279,60.856,61.409,61.911,62.347,62.715,63.02,..
Libya,69.119,69.062,69.105,69.239,69.442,69.672,69.895,70.097,70.271,..
Madagascar,62.793,63.211,63.613,63.999,64.369,64.728,65.077,65.417,65.749,..
Malawi,55.737,56.979,58.035,58.898,59.587,60.155,60.651,61.101,61.524,..
