Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,2.025095784,1.987415879,2.067468491,2.095303301,2.137891672,2.133744874,2.196332704,2.331913025,2.625843553,..
Algeria,..,..,..,..,..,0.534319997,..,..,..,..
Angola,..,..,..,..,0.03229,..,..,..,..,..
Bahrain,..,..,0.101159997,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..,..,..,..
Botswana,0.2588,0.537280023,..,..,..,..,..,..,..,..
Burkina Faso,..,..,0.197190002,..,..,0.613610029,..,0.172780007,0.248239994,..
Burundi,0.107019998,..,..,..,..,..,0.213119999,..,..,..
Cabo Verde,..,..,..,..,..,..,..,..,..,..
Cameroon,..,..,..,..,..,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..,..,..,..
Chad,..,..,..,..,0.300500005,..,..,..,..,..
Comoros,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",..,..,..,0.406379998,..,..,..,..,..,..
"Congo, Rep.",..,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,..,..,..,..,0.0704,..,..,..,..,..
Djibouti,..,..,..,..,..,..,..,..,..,..
"Egypt, Arab Rep.",0.50898999,0.63894999,0.636489987,0.718580008,0.70848,0.679409981,0.723879993,0.837149978,0.962180018,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..
Eritrea,..,..,..,..,..,..,..,..,..,..
Eswatini,..,..,..,0.267540008,..,..,..,..,..,..
Ethiopia,..,0.604740024,..,..,..,0.274370015,..,..,..,..
Gabon,..,..,..,..,..,..,..,..,..,..
"Gambia, The",..,..,..,..,..,..,0.069329999,..,..,..
Ghana,..,..,..,..,..,..,..,..,..,..
Guinea,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,..,..,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",0.316549987,0.25266999,..,0.417629987,..,0.830269992,..,0.883589983,..,..
Iraq,..,..,0.038350001,0.040169999,0.03737,0.045960002,0.042789999,0.03246,0.04397,..
Israel,4.141550064,4.074779987,4.155360222,4.261479855,4.51086998,4.656760216,4.796619892,5.139830112,5.435619831,..
Jordan,..,..,..,..,0.695469975,..,..,..,..,..
Kenya,..,..,..,..,..,..,..,..,..,..
Kuwait,0.097209997,0.301530004,0.427049994,0.096600004,0.079850003,0.080399998,0.063490003,0.191459998,0.186609998,..
Lebanon,..,..,..,..,..,..,..,..,..,..
Lesotho,..,..,..,0.051010001,..,..,..,..,..,..
Liberia,..,..,..,..,..,..,..,..,..,..
Libya,..,..,..,..,..,..,..,..,..,..
Madagascar,..,..,0.01321,..,0.01264,0.01275,..,..,..,..
Malawi,..,..,..,..,..,..,..,..,..,..
Mali,..,..,..,0.314619988,..,0.291979998,..,0.157680005,..,..
Malta,0.804319978,0.743359983,0.691789985,0.715149999,0.554359972,0.563319981,0.592859983,0.588940024,0.679889977,..
Mauritania,..,..,..,..,..,..,0.01036,..,..,..
Mauritius,0.177729994,..,..,..,..,0.366360009,0.34691,0.366919994,0.420980006,..
Morocco,..,..,..,..,..,..,..,..,..,..
Mozambique,..,..,..,0.313120008,..,..,..,..,..,..
Namibia,..,..,0.349860013,..,..,..,..,..,..,..
Niger,..,..,..,..,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..,..,..,..
Oman,0.208849996,0.170059994,0.21356,0.251549989,0.260500014,0.228239998,0.218250006,0.314440012,0.371030003,..
Qatar,0.478599995,..,..,0.518830001,..,..,0.531289995,..,..,..
Rwanda,..,..,..,..,0.649810016,..,..,0.757950008,..,..
Sao Tome and Principe,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,0.876839995,0.815159976,..,..,..,..,..,..,0.522319973,..
Senegal,..,..,..,0.577199996,..,..,..,..,..,..
Seychelles,..,..,..,..,0.221750006,..,..,..,..,..
Sierra Leone,..,..,..,..,..,..,..,..,..,..
Somalia,..,..,..,..,..,..,..,..,..,..
South Africa,0.669340014,0.663299978,0.709869981,0.731469989,0.749920011,0.762570024,0.686569989,0.615249991,..,..
South Sudan,..,..,..,..,..,..,..,..,..,..
Sudan,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,..,0.01963,..,..,..,..,..,..
Tanzania,..,0.514559984,..,..,..,..,..,..,..,..
Togo,0.223240003,..,0.266539991,..,..,..,..,..,..,..
Tunisia,0.649370015,0.637199998,0.619880021,0.59412998,0.565379977,0.699540019,0.718400002,0.748390019,..,..
Uganda,..,..,0.142649993,..,..,..,..,..,..,..
United Arab Emirates,..,..,0.693599999,0.895039976,0.963660002,..,1.278360009,1.313079953,1.449339986,..
West Bank and Gaza,..,0.454340011,..,..,..,..,..,..,..,..
"Yemen, Rep.",..,..,..,..,..,..,..,..,..,..
Zambia,..,..,..,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..,..,..,..
