Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,104.3146067,104.7871429,99.50428571,92.34446237,90.53645161,88.38080645,84.87582888,82.50336898,..,..
Algeria,158,180,180,180,180,180,84,84,..,..
Angola,145,145,145,145,145,121,121,97,..,..
Bahrain,85,85,85,85,85,85,85,69,..,..
Benin,158,158,90,90,90,90,90,90,..,..
Botswana,121,121,121,77,77,77,77,77,..,..
Burkina Faso,158,158,158,169,169,169,169,169,..,..
Burundi,188,158,158,158,158,158,158,158,..,..
Cabo Verde,81,81,81,81,81,81,81,81,..,..
Cameroon,64,64,64,64,64,64,64,64,..,..
Central African Republic,102,102,102,98,98,98,98,98,..,..
Chad,67,67,67,67,67,67,67,67,..,..
Comoros,120,120,120,120,120,120,120,120,..,..
"Congo, Dem. Rep.",101,101,55,46,44,44,44,44,..,..
"Congo, Rep.",134,134,134,134,134,134,134,134,..,..
Cote d'Ivoire,59,59,59,59,55,55,53,53,..,..
Djibouti,117,117,117,117,52,52,52,52,..,..
"Egypt, Arab Rep.",53,53,53,53,53,53,53,53,..,..
Equatorial Guinea,106,106,106,106,106,106,106,106,..,..
Eritrea,59,59,59,..,..,..,..,..,..,..
Eswatini,137,137,137,137,137,137,137,125,..,..
Ethiopia,95,95,95,95,95,95,95,95,..,..
Gabon,157,148,148,148,148,148,148,148,..,..
"Gambia, The",101,101,101,101,101,101,101,101,..,..
Ghana,79,79,79,79,79,78,78,55,..,..
Guinea,69,69,69,69,69,69,69,69,..,..
Guinea-Bissau,458,257,257,257,257,257,257,257,..,..
"Iran, Islamic Rep.",110,110,110,77,77,77,77,77,..,..
Iraq,52,52,82,82,51,51,51,51,..,..
Israel,102,102,102,102,102,102,102,102,..,..
Jordan,52,52,55,55,55,55,55,55,..,..
Kenya,133,145,145,110,97,97,97,97,..,..
Kuwait,65,65,65,65,65,65,65,49,..,..
Lebanon,68,68,68,89,89,89,89,89,..,..
Lesotho,125,114,114,114,114,114,114,114,..,..
Liberia,482,482,482,482,482,482,482,482,..,..
Libya,118,118,118,118,118,118,118,118,..,..
Madagascar,450,450,450,450,450,450,450,450,..,..
Malawi,222,222,172,127,127,127,127,127,..,..
Mali,120,120,120,120,120,120,120,120,..,..
Malta,135,135,105,105,105,105,105,105,..,..
Mauritania,75,75,75,70,67,67,67,67,..,..
Mauritius,96,96,96,96,96,67,67,67,..,..
Morocco,62,62,62,49,49,49,44,31,..,..
Mozambique,77,77,77,77,77,54,40,40,..,..
Namibia,37,37,37,37,37,37,37,37,..,..
Niger,115,115,115,115,115,97,68,52,..,..
Nigeria,..,149.44,149.44,149.44,149.44,149.44,115.33,109.8,..,..
Oman,62,62,62,62,62,62,35,30,..,..
Qatar,90,90,90,67,67,67,67,44,..,..
Rwanda,34,34,34,34,34,34,30,30,..,..
Sao Tome and Principe,89,89,89,89,89,89,89,89,..,..
Saudi Arabia,68,68,68,68,68,68,68,35,..,..
Senegal,125,114,114,81,75,75,75,68,..,..
Seychelles,147,137,137,137,52,52,52,52,..,..
Sierra Leone,113,113,82,82,82,82,82,82,..,..
Somalia,..,..,..,..,..,..,..,..,..,..
South Africa,226,226,226,84,109,109,109,109,..,..
South Sudan,468,468,468,..,..,..,..,..,..,..
Sudan,70,70,70,70,70,70,70,70,..,..
Syrian Arab Republic,71,71,71,71,146,146,146,146,..,..
Tanzania,109,109,109,109,109,109,105,105,..,..
Togo,89,89,89,66,66,66,66,66,..,..
Tunisia,65,65,65,65,65,65,65,65,..,..
Uganda,132,132,132,86,66,66,66,66,..,..
United Arab Emirates,40,35,35,32,28,10,10,7,..,..
West Bank and Gaza,64,64,64,64,47,47,47,47,..,..
"Yemen, Rep.",110,110,110,..,..,..,..,..,..,..
Zambia,117,117,117,117,117,117,117,117,..,..
Zimbabwe,106,106,106,106,106,106,106,106,..,..
