Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,89.24446869,89.30233002,89.05226135,88.7156601,88.90484619,89.16243744,89.407341,89.63014221,90.14006805,..
Algeria,101.5528793,106.0316772,108.3915787,105.5467224,105.5900497,105.6367111,105.143959,101.3646317,103.6635284,..
Angola,..,..,..,..,..,..,..,..,..,..
Bahrain,93.22641754,94.48236847,96.6472168,98.74027252,99.51364899,99.45120239,97.87412262,100.241188,..,..
Benin,73.04107666,78.60559845,79.45439911,81.14032745,80.74555969,..,..,64.43959808,62.42148972,..
Botswana,101.2084198,100.661171,..,94.55426788,..,..,..,..,..,..
Burkina Faso,57.36603165,62.34405136,60.84949875,62.02980042,61.72433853,63.51921844,65.47892761,64.54945374,64.88916779,..
Burundi,62.99792099,70.719841,69.56655884,64.53968048,67.67450714,68.37870026,63.02138901,59.37641907,..,52.94527054
Cabo Verde,97.75907898,92.35906219,94.72225189,95.21536255,91.0370636,87.40142059,87.29020691,99.99017334,..,..
Cameroon,74.24182129,..,72.77977753,74.17043304,73.39318848,68.21424103,64.47068024,65.49803925,..,..
Central African Republic,42.82416153,..,..,..,40.8741684,54.70602036,..,..,..,..
Chad,34.40066147,37.66218948,..,37.49597168,41.32025909,37.92238998,40.56021881,..,..,..
Comoros,..,74.69879913,77.67991638,..,68.48216248,76.72007751,..,..,..,..
"Congo, Dem. Rep.",70.90409088,69.77172852,67.68039703,69.91117096,..,..,..,..,..,..
"Congo, Rep.",71.60604095,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,54.47447968,53.29364014,54.86824036,60.44213104,64.16320801,71.59989929,74.60257721,78.75084686,81.43595886,83.61065674
Djibouti,..,50.69831085,59.97706985,65.59613037,67.35250854,62.97631836,66.38028717,65.57845306,63.03197098,64.81249237
"Egypt, Arab Rep.",..,100.5301437,..,..,96.90644836,97.18955231,100.6852112,104.6092987,..,..
Equatorial Guinea,44.01268005,..,..,40.77592087,..,..,..,..,..,..
Eritrea,66.08583832,61.0422287,..,62.84111023,..,64.18666077,60.27051163,..,..,..
Eswatini,84.69747162,86.04702759,84.54666138,89.14315033,95.14885712,95.81926727,94.48487091,88.59642792,..,..
Ethiopia,50.30796814,53.32957077,53.38832855,54.11090088,61.57915115,63.68955994,..,67.74021149,68.08428955,..
Gabon,..,..,..,..,..,..,..,78.42915344,..,..
"Gambia, The",65.6831131,66.41799927,66.99941254,67.47250366,69.27261353,72.04599762,74.71024323,78.94251251,82.26425171,85.16638184
Ghana,93.86432648,94.82469177,93.65453339,98.75621796,..,94.72445679,93.80911255,..,..,..
Guinea,60.10137939,60.8259201,62.25954056,60.2975502,59.66736984,..,..,..,59.35110855,..
Guinea-Bissau,..,..,..,..,..,..,..,..,..,..
